Broadcast Message								Slave ID 
				Example Value				
Holding Registers	Address		RO/RW?	Off morning	scrolling 5s	Heated Up (15s scrolling)		Holding Registers
Write 90 Register	32002		RW	22342	22342	22342		
				12851	12851	12851		
				12594	12594	12594		
				12855	12855	12855		
				12343	12343	12343		
				12342	12342	12342		
				0	0	0		
				0	0	0		
				1028	1028	1028		
				2001	2001	2001		
				0	1	1		
				1	1	1		
				310	350	350		
				0	0	0		
				10	10	10		
				773	773	773		
				9	9	9		
				9	9	9		
				0	0	0		
				0	0	0		
				0	0	0		
				165	165	165		
				182	270	272	(inlet water temp?)	
				184	334	337		
				0	0	0		
				191	213	212		
				191	81	81	Coil temp 1	
				65509	65509	65509		
				0	0	0		
				0	0	0		
				196	79	79		
				65507	65507	65507		
				0	0	0		
				0	0	0		
				0	0	0		
				0	0	0		
				0	0	0		
				0	0	0		
				0	0	0		
				0	0	0		
				0	0	0		
				0	0	0		
				188	140	140	Condensate Temp?/ Suction temp?	
				187	141	140	Condensate Temp?/ Suction temp?	
				0	0	0		
				0	0	0		
				186	421	426	T14: Exhaust Air Temp?	Very Likely (matches almost exact)
				185	412	418	t26: exhaust air temp?	Very likely (matches exact)
				0	0	0		
				0	0	0		
				0	0	0		
				0	0	0		
				0	0	0		
				0	0	0		
				0	0	0		
				0	0	0		
				0	0	0		
				0	0	0		
				184	323	327		
				0	0	0		
				0	0	0		
				0	0	0		
				184	315	319	Antifreezing temp)	
				0	0	0		
				0	0	0		
				0	0	0		
				0	0	0		
				0	0	0		
				0	0	0		
				0	0	0		
				0	0	0		
				0	0	0		
				0	0	0		
				0	0	0		
				250	182	182		
				250	182	182		
				0	0	0		
				0	0	0		
				0	0	0		
				0	0	0		
				0	0	0		
				0	0	0		
				0	0	0		
				0	0	0		
				0	0	0		
				0	0	0		
				69	41	40		
				69	41	41		
				0	0	0		
				165	165	165		
	32092			22342	22342	22342		
				12851	12851	12851		
				12594	12594	12594		
				12855	12855	12855		
				12343	12343	12343		
				12342	12342	12342		
				0	0	0		
				0	0	0		
				1028	1028	1028		
				2091	2091	2091		
				0	0	0		
				0	0	0		
				-29	65507	65507		
				-28	65508	65509		
				0	50	50		
				0	0	0		
				23205	23205	23205		
				0	0	0		
				0	0	0		
				0	0	0		
				183	27	23		
				0	101	101		
				181	30	29		
				0	95	95		
				0	0	0		
				0	0	0		
				0	0	0		
				0	0	0		
				0	0	0		
				0	0	0		
				0	0	0		
				0	798	798	(coil temp * 100?)	
				0	0	0		
				0	0	0		
				0	0	0		
				0	64	64		
				0	60	64		
				0	82	85		
				20	40	40		
				15	559	558		
				264	523	523		
				0	0	0		
				0	0	0		
				0	64	64		
				0	60	64		
				0	80	83		
				18	37	38		
				15	557	556		
				264	523	523		
				0	0	0		
				0	0	0		
				0	800	800		
				0	25	25		
				201	350	352		
				332	326	325		
				0	0	0		
				0	0	0		
				0	0	0		
				0	0	0		
				0	0	0		
				0	0	0		
				0	472	474		
				0	0	0		
				16	16	16		
				0	0	0		
				0	0	0		
				0	0	0		
				0	0	0		
				0	0	0		
				0	0	0		
				0	0	0		
				0	0	0		
				0	0	0		
				0	259	259		
				0	0	0		
				0	0	0		
				25600	25600	25600		
				0	0	0		
				0	0	0		
				0	0	0		
				0	0	0		
				0	0	0		
				0	0	0		
				0	0	0		
				0	0	0		
				0	0	0		
				0	0	0		
				0	0	0		
				0	0	0		
				0	0	0		
