timestamp,Setpoint,Water inlet Temp,Water outlet Temp,Ambient Temp,Coil Temp,Coil Temp,Suction Temp,Suction Temp,Exhaust Air temp,Exhaust Air temp,Antifreeze temp,Antifreeze temp,Low pressure,Low pressure,Evap temp,Superheat,Evap temp,Superheat
1042344,550.0,503.0,557.0,267.0,161.0,160.0,171.0,177.0,712.0,707.0,560.0,552.0,60.0,60.0,139.0,30.0,137.0,37.0
1444408,550.0,503.0,557.0,267.0,161.0,160.0,171.0,177.0,712.0,707.0,560.0,552.0,60.0,60.0,139.0,30.0,137.0,37.0
2044916,550.0,503.0,557.0,267.0,161.0,160.0,171.0,177.0,712.0,707.0,560.0,552.0,60.0,60.0,139.0,30.0,137.0,37.0
2447584,550.0,503.0,557.0,267.0,161.0,160.0,171.0,177.0,712.0,707.0,560.0,552.0,60.0,60.0,139.0,30.0,137.0,37.0
4306256,550.0,503.0,557.0,267.0,161.0,160.0,171.0,177.0,712.0,707.0,560.0,552.0,60.0,60.0,139.0,30.0,137.0,37.0
4807852,550.0,502.875,557.0,267.0,161.0,160.0,171.0,177.0,711.875,707.0,560.0,552.0,60.0,60.0,139.0,30.0,137.0,37.0
5036032,550.0,502.75,557.0,267.0,161.0,160.0,171.0,177.0,711.75,707.0,560.0,552.0,60.0,60.0,139.0,30.0,137.0,37.0
5444688,550.0,502.625,557.0,267.0,161.0,160.0,171.0,177.0,711.625,707.0,560.0,552.0,60.0,60.0,139.0,30.0,137.0,37.0
6559644,550.0,502.5,557.0,267.0,161.0,160.0,171.0,177.0,711.5,707.0,560.0,552.0,60.0,60.0,139.0,30.0,137.0,37.0
6961944,550.0,502.375,557.0,267.0,161.0,160.0,171.0,177.0,711.375,707.0,560.0,552.0,60.0,60.0,139.0,30.0,137.0,37.0
7562608,550.0,502.25,557.0,267.0,161.0,160.0,171.0,177.0,711.25,707.0,560.0,552.0,60.0,60.0,139.0,30.0,137.0,37.0
7965140,550.0,502.125,557.0,267.0,161.0,160.0,171.0,177.0,711.125,707.0,560.0,552.0,60.0,60.0,139.0,30.0,137.0,37.0
9823816,550.0,502.0,557.0,267.0,161.0,160.0,171.0,177.0,711.0,707.0,560.0,552.0,60.0,60.0,139.0,30.0,137.0,37.0
10325388,550.0,502.0,557.0,267.0,161.0,160.0,171.125,177.0,711.0,706.875,560.0,552.0,60.0,60.0,139.0,30.0,137.0,37.0
10553384,550.0,502.0,557.0,267.0,161.0,160.0,171.25,177.0,711.0,706.75,560.0,552.0,60.0,60.0,139.0,30.0,136.875,37.0
10962200,550.0,502.0,557.0,267.0,161.0,160.0,171.375,177.0,711.0,706.625,560.0,552.0,60.0,60.0,139.0,30.0,136.75,37.0
12076996,550.0,502.0,557.0,267.0,161.0,160.0,171.5,177.0,711.0,706.5,560.0,552.0,60.0,60.0,139.0,30.0,136.625,37.0
12479480,550.0,502.0,557.0,267.0,161.0,160.0,171.625,177.0,711.0,706.375,560.0,552.0,60.0,60.0,139.0,30.0,136.5,37.0
13080248,550.0,502.0,557.0,267.0,161.0,160.0,171.75,177.0,711.0,706.25,560.0,552.0,60.0,60.0,139.0,30.0,136.375,37.0
13482676,550.0,502.0,557.0,267.0,161.0,160.0,171.875,177.0,711.0,706.125,560.0,552.0,60.0,60.0,139.0,30.0,136.25,37.0
15341324,550.0,502.0,557.0,267.0,161.0,160.0,172.0,177.0,711.0,706.0,560.0,552.0,60.0,60.0,139.0,30.0,136.125,37.0
15842948,550.0,502.0,557.0,267.0,161.0,159.875,172.0,177.0,710.875,706.0,559.875,551.875,60.0,59.875,139.0,30.0,136.0,37.0
16070736,550.0,502.0,557.0,267.0,161.0,159.75,172.0,177.0,710.75,706.0,559.75,551.75,60.0,59.75,138.625,30.0,135.875,37.0
17093144,550.0,502.0,557.0,267.0,161.0,159.625,172.0,177.0,710.625,706.0,559.625,551.625,60.0,59.625,138.25,30.0,135.75,37.0
17495420,550.0,502.0,557.0,267.0,161.0,159.5,172.0,177.0,710.5,706.0,559.5,551.5,60.0,59.5,137.875,30.0,135.625,37.0
18096368,550.0,502.0,557.0,267.0,161.0,159.375,172.0,177.0,710.375,706.0,559.375,551.375,60.0,59.375,137.5,30.0,135.5,37.0
18498612,550.0,502.0,557.0,267.0,161.0,159.25,172.0,177.0,710.25,706.0,559.25,551.25,60.0,59.25,137.125,30.0,135.375,37.0
19129508,550.0,502.0,557.0,267.0,161.0,159.125,172.0,177.0,710.125,706.0,559.125,551.125,60.0,59.125,136.75,30.0,135.25,37.0
20357136,550.0,502.0,557.0,267.0,161.0,159.0,172.0,177.0,710.0,706.0,559.0,551.0,60.0,59.0,136.375,30.0,135.125,37.0
20858652,550.0,502.0,556.875,267.0,161.0,159.0,172.125,177.125,710.0,706.0,559.0,551.0,59.875,59.0,136.0,30.0,135.0,37.0
21086776,550.0,502.0,556.75,267.0,161.0,159.0,172.25,177.25,710.0,706.0,559.0,551.0,59.75,59.0,135.875,30.375,134.875,37.0
21495360,550.0,502.0,556.625,267.0,161.0,159.0,172.375,177.375,710.0,706.0,559.0,551.0,59.625,59.0,135.75,30.75,134.75,37.0
22609972,550.0,502.0,556.5,267.0,161.0,159.0,172.5,177.5,710.0,706.0,559.0,551.0,59.5,59.0,135.625,31.125,134.625,37.0
23012404,550.0,502.0,556.375,267.0,161.0,159.0,172.625,177.625,710.0,706.0,559.0,551.0,59.375,59.0,135.5,31.5,134.5,37.0
23613380,550.0,502.0,556.25,267.0,161.0,159.0,172.75,177.75,710.0,706.0,559.0,551.0,59.25,59.0,135.375,31.875,134.375,37.0
24015420,550.0,502.0,556.125,267.0,161.0,159.0,172.875,177.875,710.0,706.0,559.0,551.0,59.125,59.0,135.25,32.25,134.25,37.0
25873808,550.0,502.0,556.0,267.0,161.0,159.0,173.0,178.0,710.0,706.0,559.0,551.0,59.0,59.0,135.125,32.625,134.125,37.0
26375304,550.0,502.0,556.0,267.0,160.71428571428572,159.0,173.14285714285714,178.0,709.8571428571429,705.8571428571429,559.0,551.0,59.0,59.0,135.0,33.0,134.0,37.0
26603244,550.0,502.0,556.0,267.0,160.42857142857142,159.0,173.28571428571428,178.0,709.7142857142857,705.7142857142857,559.0,551.0,59.0,59.0,134.85714285714286,33.0,134.0,37.0
27625312,550.0,502.0,556.0,267.0,160.14285714285714,159.0,173.42857142857142,178.0,709.5714285714286,705.5714285714286,559.0,551.0,59.0,59.0,134.71428571428572,33.0,134.0,37.0
28027536,550.0,502.0,556.0,267.0,159.85714285714286,159.0,173.57142857142858,178.0,709.4285714285714,705.4285714285714,559.0,551.0,59.0,59.0,134.57142857142858,33.0,134.0,37.0
