UART Data
4020784,1,00 
4042600,2,FF 
4255980,3,04 10 07 CF 00 05 0A 00 00 00 00 00 00 00 00 08 50 9D 98 
4292700,4,04 10 07 CF 00 05 31 14 
4836444,5,01 03 0B B9 00 15 57 C4 01 03 2A 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 0A 03 06 00 00 00 04 00 19 00 0A 00 17 00 0F 00 1D 52 20 
5236084,6,02 03 0B B9 00 15 57 F7 
6114260,7,00 10 07 D1 00 5A B4 57 46 32 33 31 32 32 37 30 37 30 36 00 00 00 00 04 04 07 D1 00 00 00 01 01 5E 00 00 00 0A 03 05 00 09 00 09 00 00 00 00 00 00 00 A5 00 CE 00 D2 00 00 00 CB 00 CD FF E5 00 00 00 00 00 D0 FF E3 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 D2 00 D1 00 00 00 00 00 D0 00 D0 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 CC 00 00 00 00 00 00 00 CB 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 FA 00 FA 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 48 00 48 00 00 00 A5 D3 18 
6615732,8,00 10 08 2B 00 5A B4 57 46 32 33 31 32 32 37 30 37 30 36 00 00 00 00 04 04 08 2B 00 00 00 00 FF E3 FF E5 00 00 00 00 5A A5 00 00 00 00 00 00 00 C6 00 00 00 C6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 17 00 13 01 08 00 00 00 00 00 00 00 00 00 00 00 15 00 13 01 08 00 00 00 00 00 00 00 00 00 F8 01 4C 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 10 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 66 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 25 68 
6740520,9,05 03 03 F3 00 0E 35 FD 
6843284,10,05 03 1C 00 00 00 00 00 00 00 00 00 10 00 00 00 00 00 00 00 00 00 00 5A A5 00 F8 00 EC 01 4C C9 A9 
7242012,11,06 03 03 F3 00 0E 35 CE 
7743532,12,03 03 08 33 00 16 37 89 
7865924,13,03 03 2C 01 08 00 00 00 00 00 00 00 6E 00 91 01 A4 00 00 00 00 00 13 00 00 00 4E 00 00 00 00 09 00 00 14 58 21 00 00 00 00 00 02 00 00 00 00 F6 C0 
8267936,14,03 10 07 CF 00 05 0A 00 00 00 00 00 00 00 00 08 50 2F A9 
8305204,15,03 10 07 CF 00 05 30 A3 
8746524,16,04 03 08 33 00 16 36 3E 
8868260,17,04 03 2C 01 08 00 00 00 00 00 00 00 6E 00 91 01 A3 00 00 00 00 00 13 00 00 00 4C 00 00 00 00 09 00 00 14 58 21 00 00 00 00 00 02 00 00 00 00 22 64 
9270952,18,04 10 07 CF 00 05 0A 00 00 00 00 00 00 00 00 08 50 9D 98 
9307884,19,04 10 07 CF 00 05 31 14 
9851444,20,01 03 0B B9 00 15 57 C4 01 03 2A 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 0A 03 06 00 00 00 04 00 19 00 0A 00 17 00 0F 00 1D 52 20 
10251060,21,02 03 0B B9 00 15 57 F7 
11129312,22,00 10 07 D1 00 5A B4 57 46 32 33 31 32 32 37 30 37 30 36 00 00 00 00 04 04 07 D1 00 00 00 01 01 5E 00 00 00 0A 03 05 00 09 00 09 00 00 00 00 00 00 00 A5 00 CE 00 D2 00 00 00 CB 00 CD FF E5 00 00 00 00 00 D0 FF E3 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 D2 00 D1 00 00 00 00 00 D0 00 D0 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 CC 00 00 00 00 00 00 00 CC 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 FA 00 FA 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 48 00 48 00 00 00 A5 87 FA 
11630808,23,00 10 08 2B 00 5A B4 57 46 32 33 31 32 32 37 30 37 30 36 00 00 00 00 04 04 08 2B 00 00 00 00 FF E3 FF E5 00 00 00 00 5A A5 00 00 00 00 00 00 00 C6 00 00 00 C6 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 17 00 13 01 08 00 00 00 00 00 00 00 00 00 00 00 15 00 13 01 08 00 00 00 00 00 00 00 00 00 F8 01 4C 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 10 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 66 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 25 68 
11755620,24,05 03 03 F3 00 0E 35 FD 
