timestamp,Setpoint,Water inlet Temp,Water outlet Temp,Ambient Temp,Coil Temp,Coil Temp,Suction Temp,Suction Temp,Exhaust Air temp,Exhaust Air temp,Antifreeze temp,Antifreeze temp,Low pressure,Low pressure,Evap temp,Superheat,Evap temp,Superheat
418304,550.0,503.0,557.0,267.0,161.0,160.0,171.0,177.0,712.0,707.0,560.0,552.0,60.0,60.0,139.0,30.0,137.0,37.0
1042344,550.0,503.0,557.0,267.0,161.0,160.0,171.0,177.0,712.0,707.0,560.0,552.0,60.0,60.0,139.0,30.0,137.0,37.0
1444408,550.0,503.0,557.0,267.0,161.0,160.0,171.0,177.0,712.0,707.0,560.0,552.0,60.0,60.0,139.0,30.0,137.0,37.0
2044916,550.0,503.0,557.0,267.0,161.0,160.0,171.0,177.0,712.0,707.0,560.0,552.0,60.0,60.0,139.0,30.0,137.0,37.0
2447584,550.0,503.0,557.0,267.0,161.0,160.0,171.0,177.0,712.0,707.0,560.0,552.0,60.0,60.0,139.0,30.0,137.0,37.0
4306256,550.0,503.0,557.0,267.0,161.0,160.0,171.0,177.0,712.0,707.0,560.0,552.0,60.0,60.0,139.0,30.0,137.0,37.0
4807852,550.0,502.9,557.0,267.0,161.0,160.0,171.0,177.0,711.9,707.0,560.0,552.0,60.0,60.0,139.0,30.0,137.0,37.0
4932672,550.0,502.8,557.0,267.0,161.0,160.0,171.0,177.0,711.8,707.0,560.0,552.0,60.0,60.0,139.0,30.0,137.0,37.0
5036032,550.0,502.7,557.0,267.0,161.0,160.0,171.0,177.0,711.7,707.0,560.0,552.0,60.0,60.0,139.0,30.0,137.0,37.0
5444688,550.0,502.6,557.0,267.0,161.0,160.0,171.0,177.0,711.6,707.0,560.0,552.0,60.0,60.0,139.0,30.0,137.0,37.0
5935864,550.0,502.5,557.0,267.0,161.0,160.0,171.0,177.0,711.5,707.0,560.0,552.0,60.0,60.0,139.0,30.0,137.0,37.0
6559644,550.0,502.4,557.0,267.0,161.0,160.0,171.0,177.0,711.4,707.0,560.0,552.0,60.0,60.0,139.0,30.0,137.0,37.0
6961944,550.0,502.3,557.0,267.0,161.0,160.0,171.0,177.0,711.3,707.0,560.0,552.0,60.0,60.0,139.0,30.0,137.0,37.0
7562608,550.0,502.2,557.0,267.0,161.0,160.0,171.0,177.0,711.2,707.0,560.0,552.0,60.0,60.0,139.0,30.0,137.0,37.0
7965140,550.0,502.1,557.0,267.0,161.0,160.0,171.0,177.0,711.1,707.0,560.0,552.0,60.0,60.0,139.0,30.0,137.0,37.0
9823816,550.0,502.0,557.0,267.0,161.0,160.0,171.0,177.0,711.0,707.0,560.0,552.0,60.0,60.0,139.0,30.0,137.0,37.0
10325388,550.0,502.0,557.0,267.0,161.0,160.0,171.1,177.0,711.0,706.9,560.0,552.0,60.0,60.0,139.0,30.0,137.0,37.0
10450228,550.0,502.0,557.0,267.0,161.0,160.0,171.2,177.0,711.0,706.8,560.0,552.0,60.0,60.0,139.0,30.0,136.9,37.0
10553384,550.0,502.0,557.0,267.0,161.0,160.0,171.3,177.0,711.0,706.7,560.0,552.0,60.0,60.0,139.0,30.0,136.8,37.0
10962200,550.0,502.0,557.0,267.0,161.0,160.0,171.4,177.0,711.0,706.6,560.0,552.0,60.0,60.0,139.0,30.0,136.7,37.0
11453400,550.0,502.0,557.0,267.0,161.0,160.0,171.5,177.0,711.0,706.5,560.0,552.0,60.0,60.0,139.0,30.0,136.6,37.0
12076996,550.0,502.0,557.0,267.0,161.0,160.0,171.6,177.0,711.0,706.4,560.0,552.0,60.0,60.0,139.0,30.0,136.5,37.0
12479480,550.0,502.0,557.0,267.0,161.0,160.0,171.7,177.0,711.0,706.3,560.0,552.0,60.0,60.0,139.0,30.0,136.4,37.0
13080248,550.0,502.0,557.0,267.0,161.0,160.0,171.8,177.0,711.0,706.2,560.0,552.0,60.0,60.0,139.0,30.0,136.3,37.0
13482676,550.0,502.0,557.0,267.0,161.0,160.0,171.9,177.0,711.0,706.1,560.0,552.0,60.0,60.0,139.0,30.0,136.2,37.0
15341324,550.0,502.0,557.0,267.0,161.0,160.0,172.0,177.0,711.0,706.0,560.0,552.0,60.0,60.0,139.0,30.0,136.1,37.0
15842948,550.0,502.0,557.0,267.0,161.0,159.9,172.0,177.0,710.9,706.0,559.9,551.9,60.0,59.9,139.0,30.0,136.0,37.0
15967736,550.0,502.0,557.0,267.0,161.0,159.8,172.0,177.0,710.8,706.0,559.8,551.8,60.0,59.8,138.7,30.0,135.9,37.0
16070736,550.0,502.0,557.0,267.0,161.0,159.7,172.0,177.0,710.7,706.0,559.7,551.7,60.0,59.7,138.4,30.0,135.8,37.0
16469336,550.0,502.0,557.0,267.0,161.0,159.6,172.0,177.0,710.6,706.0,559.6,551.6,60.0,59.6,138.1,30.0,135.7,37.0
17093144,550.0,502.0,557.0,267.0,161.0,159.5,172.0,177.0,710.5,706.0,559.5,551.5,60.0,59.5,137.8,30.0,135.6,37.0
17495420,550.0,502.0,557.0,267.0,161.0,159.4,172.0,177.0,710.4,706.0,559.4,551.4,60.0,59.4,137.5,30.0,135.5,37.0
18096368,550.0,502.0,557.0,267.0,161.0,159.3,172.0,177.0,710.3,706.0,559.3,551.3,60.0,59.3,137.2,30.0,135.4,37.0
18498612,550.0,502.0,557.0,267.0,161.0,159.2,172.0,177.0,710.2,706.0,559.2,551.2,60.0,59.2,136.9,30.0,135.3,37.0
19129508,550.0,502.0,557.0,267.0,161.0,159.1,172.0,177.0,710.1,706.0,559.1,551.1,60.0,59.1,136.6,30.0,135.2,37.0
20357136,550.0,502.0,557.0,267.0,161.0,159.0,172.0,177.0,710.0,706.0,559.0,551.0,60.0,59.0,136.3,30.0,135.1,37.0
20858652,550.0,502.0,556.9,267.0,161.0,159.0,172.1,177.1,710.0,706.0,559.0,551.0,59.9,59.0,136.0,30.0,135.0,37.0
20983440,550.0,502.0,556.8,267.0,161.0,159.0,172.2,177.2,710.0,706.0,559.0,551.0,59.8,59.0,135.9,30.3,134.9,37.0
21086776,550.0,502.0,556.7,267.0,161.0,159.0,172.3,177.3,710.0,706.0,559.0,551.0,59.7,59.0,135.8,30.6,134.8,37.0
21495360,550.0,502.0,556.6,267.0,161.0,159.0,172.4,177.4,710.0,706.0,559.0,551.0,59.6,59.0,135.7,30.9,134.7,37.0
21986480,550.0,502.0,556.5,267.0,161.0,159.0,172.5,177.5,710.0,706.0,559.0,551.0,59.5,59.0,135.6,31.2,134.6,37.0
22609972,550.0,502.0,556.4,267.0,161.0,159.0,172.6,177.6,710.0,706.0,559.0,551.0,59.4,59.0,135.5,31.5,134.5,37.0
23012404,550.0,502.0,556.3,267.0,161.0,159.0,172.7,177.7,710.0,706.0,559.0,551.0,59.3,59.0,135.4,31.8,134.4,37.0
23613380,550.0,502.0,556.2,267.0,161.0,159.0,172.8,177.8,710.0,706.0,559.0,551.0,59.2,59.0,135.3,32.1,134.3,37.0
24015420,550.0,502.0,556.1,267.0,161.0,159.0,172.9,177.9,710.0,706.0,559.0,551.0,59.1,59.0,135.2,32.4,134.2,37.0
25873808,550.0,502.0,556.0,267.0,161.0,159.0,173.0,178.0,710.0,706.0,559.0,551.0,59.0,59.0,135.1,32.7,134.1,37.0
26375304,550.0,502.0,556.0,267.0,160.77777777777777,159.0,173.11111111111111,178.0,709.8888888888889,705.8888888888889,559.0,551.0,59.0,59.0,135.0,33.0,134.0,37.0
26500120,550.0,502.0,556.0,267.0,160.55555555555554,159.0,173.22222222222223,178.0,709.7777777777778,705.7777777777778,559.0,551.0,59.0,59.0,134.88888888888889,33.0,134.0,37.0
26603244,550.0,502.0,556.0,267.0,160.33333333333334,159.0,173.33333333333334,178.0,709.6666666666666,705.6666666666666,559.0,551.0,59.0,59.0,134.77777777777777,33.0,134.0,37.0
27001636,550.0,502.0,556.0,267.0,160.11111111111111,159.0,173.44444444444446,178.0,709.5555555555555,705.5555555555555,559.0,551.0,59.0,59.0,134.66666666666666,33.0,134.0,37.0
27625312,550.0,502.0,556.0,267.0,159.88888888888889,159.0,173.55555555555554,178.0,709.4444444444445,705.4444444444445,559.0,551.0,59.0,59.0,134.55555555555554,33.0,134.0,37.0
28027536,550.0,502.0,556.0,267.0,159.66666666666666,159.0,173.66666666666666,178.0,709.3333333333334,705.3333333333334,559.0,551.0,59.0,59.0,134.44444444444446,33.0,134.0,37.0
28627624,550.0,502.0,556.0,267.0,159.44444444444446,159.0,173.77777777777777,178.0,709.2222222222222,705.2222222222222,559.0,551.0,59.0,59.0,134.33333333333334,33.0,134.0,37.0
29030552,550.0,502.0,556.0,267.0,159.22222222222223,159.0,173.88888888888889,178.0,709.1111111111111,705.1111111111111,559.0,551.0,59.0,59.0,134.22222222222223,33.0,134.0,37.0
30888912,550.0,502.0,556.0,267.0,159.0,159.0,174.0,178.0,709.0,705.0,559.0,551.0,59.0,59.0,134.11111111111111,33.0,134.0,37.0
31390404,550.0,501.9166666666667,556.0,266.9166666666667,158.91666666666666,158.91666666666666,174.0,178.0,708.9166666666666,705.0,558.9166666666666,550.9166666666666,59.0,59.0,134.0,33.0,134.0,37.0
31515220,550.0,501.8333333333333,556.0,266.8333333333333,158.83333333333334,158.83333333333334,174.0,178.0,708.8333333333334,705.0,558.8333333333334,550.8333333333334,59.0,59.0,134.0,33.0,133.91666666666666,37.0
31618296,550.0,501.75,556.0,266.75,158.75,158.75,174.0,178.0,708.75,705.0,558.75,550.75,59.0,59.0,134.0,33.0,133.83333333333334,37.0
32016712,550.0,501.6666666666667,556.0,266.6666666666667,158.66666666666666,158.66666666666666,174.0,178.0,708.6666666666666,705.0,558.6666666666666,550.6666666666666,59.0,59.0,134.0,33.0,133.75,37.0
32640596,550.0,501.5833333333333,556.0,266.5833333333333,158.58333333333334,158.58333333333334,174.0,178.0,708.5833333333334,705.0,558.5833333333334,550.5833333333334,59.0,59.0,134.0,33.0,133.66666666666666,37.0
33042636,550.0,501.5,556.0,266.5,158.5,158.5,174.0,178.0,708.5,705.0,558.5,550.5,59.0,59.0,134.0,33.0,133.58333333333334,37.0
33642908,550.0,501.4166666666667,556.0,266.4166666666667,158.41666666666666,158.41666666666666,174.0,178.0,708.4166666666666,705.0,558.4166666666666,550.4166666666666,59.0,59.0,134.0,33.0,133.5,37.0
34045624,550.0,501.3333333333333,556.0,266.3333333333333,158.33333333333334,158.33333333333334,174.0,178.0,708.3333333333334,705.0,558.3333333333334,550.3333333333334,59.0,59.0,134.0,33.0,133.41666666666666,37.0
38559024,550.0,501.25,556.0,266.25,158.25,158.25,174.0,178.0,708.25,705.0,558.25,550.25,59.0,59.0,134.0,33.0,133.33333333333334,37.0
39159428,550.0,501.1666666666667,556.0,266.1666666666667,158.16666666666666,158.16666666666666,174.0,178.0,708.1666666666666,705.0,558.1666666666666,550.1666666666666,59.0,59.0,134.0,33.0,133.25,37.0
39562016,550.0,501.0833333333333,556.0,266.0833333333333,158.08333333333334,158.08333333333334,174.0,178.0,708.0833333333334,705.0,558.0833333333334,550.0833333333334,59.0,59.0,134.0,33.0,133.16666666666666,37.0
41420268,550.0,501.0,556.0,266.0,158.0,158.0,174.0,178.0,708.0,705.0,558.0,550.0,59.0,59.0,134.0,33.0,133.08333333333334,37.0
41921792,550.0,501.0,556.0,266.0,158.0,158.0,173.88888888888889,178.0,708.0,704.8888888888889,558.0,550.0,59.0,59.0,134.0,33.0,133.0,37.0
