UART Data,,
130848,1,01 9D 00 EB 01 47 C9 08 
418304,2,06 03 03 F3 00 0E 35 CE 
919900,3,03 03 08 33 00 16 37 89 
1042344,4,03 03 2C 02 0B 00 00 00 00 00 33 00 6E 00 91 01 A1 00 40 00 81 02 2C 00 00 00 78 00 00 00 00 09 00 00 14 58 21 00 00 00 00 00 02 00 00 00 00 3D 7C 
1444408,5,03 10 07 CF 00 05 0A 00 33 00 03 00 00 00 00 08 50 5C 58 
1481704,6,03 10 07 CF 00 05 30 A3 
1923100,7,04 03 08 33 00 16 36 3E 
2044916,8,04 03 2C 02 0B 00 00 00 00 00 33 00 6E 00 91 01 A1 00 3F 00 7E 02 2A 00 00 00 77 00 00 00 00 09 00 00 14 58 21 00 00 00 00 00 02 00 00 00 00 79 25 
2447584,9,04 10 07 CF 00 05 0A 00 33 00 03 00 00 00 00 08 50 EE 69 
2484772,10,04 10 07 CF 00 05 31 14 
3028252,11,01 03 0B B9 00 15 57 C4 01 03 2A 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 0A 03 06 00 00 00 04 00 19 00 0B 00 1B 00 0D 00 29 F2 F6 
3427872,12,02 03 0B B9 00 15 57 F7 
4306256,13,00 10 07 D1 00 5A B4 57 46 32 33 31 32 32 37 30 37 30 36 00 00 00 00 04 04 07 D1 00 01 00 01 02 26 00 00 00 0A 03 05 00 09 00 09 00 00 00 00 00 00 00 A5 01 F7 02 2D 00 00 01 0B 00 A1 FF E5 00 00 00 00 00 A0 FF E3 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 AB 00 B1 00 00 00 00 02 C8 02 C3 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 02 30 00 00 00 00 00 00 02 28 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 EC 00 DE 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 3C 00 3C 00 00 00 A5 E4 A6 
